ID,plot_id,AGB
T20_P1,77,199.134110700000000
T20_P2,78,140.265449999999000
T20_P3,79,289.502066500000000
T20_P4,80,207.786777900000000
T19_P1,73,402.317368600000000
T19_P4,76,200.980880899999000
T19_P2,74,225.421628499999000
T19_P3,75,185.526180500000000
T5_P4,20,257.129596800000000
T16_P1,61,108.513740999999000
T16_P2,62,207.399432499999000
T16_P3,63,325.287558499999000
T16_P4,64,412.984051200000000
T17_P2,66,242.795037199999000
T17_P3,67,68.010277110000000
T17_P4,68,150.822171800000000
T17_P1,65,220.469921900000000
T22_P2,86,175.716431699999000
T22_P1,85,282.149557800000000
T22_P3,87,261.802743200000000
T22_P4,88,408.492322100000000
T21_P1,81,86.404453579999900
T21_P2,82,168.869899299999000
T21_P3,83,121.800658400000000
T21_P4,84,298.422089599999000
T18_P1,69,164.573506799999000
T18_P2,70,139.795138400000000
T18_P3,71,239.486721499999000
T18_P4,72,249.004002299999000
T15_P1,57,316.141637600000000
T15_P2,58,227.203782999999000
T15_P3,59,186.901559899999000
T15_P4,60,280.354543200000000
T14_P4,56,272.738143499999000
T14_P2,54,209.594676399999000
T14_P3,55,258.307175099999000
T14_P1,53,218.187044799999000
T5_P2,18,153.865289499999000
T5_P3,19,202.801297900000000
T6_P1,21,254.157376499999000
T6_P2,22,138.710720400000000
T6_P3,23,338.875753799999000
T6_P4,24,260.973157800000000
T9_P4,36,378.631236899999000
T9_P3,35,65.335473190000000
T9_P2,34,282.217509000000000
T9_P1,33,525.789351799999000
T8_P4,32,407.529704299999000
T8_P1,29,267.656378299999000
T8_P2,30,224.338581500000000
T8_P3,31,276.355824299999000
T11_P3,43,326.037429700000000
T11_P4,44,315.514055900000000
T11_P1,41,148.365108099999000
T11_P2,42,189.745975600000000
T10_P1,37,293.259048500000000
T10_P2,38,172.961220400000000
T10_P3,39,293.529854699999000
T10_P4,40,325.808956400000000
T3_P1,9,242.250978500000000
T3_P2,10,190.779401699999000
T3_P3,11,301.199910999999000
T3_P4,12,179.556071400000000
T4_P1,13,303.650288199999000
T4_P2,14,183.159728400000000
T4_P3,15,168.665177300000000
T4_P4,16,233.162956299999000
T1_P1,1,259.085979199999000
T1_P2,2,167.567309999999000
T12_P1,45,274.081473000000000
T12_P2,46,238.422940199999000
T12_P3,47,113.081447199999000
T12_P4,48,110.178309600000000
T13_P1,49,225.335932500000000
T13_P2,50,296.281563300000000
T13_P3,51,309.455347099999000
T2_P1,5,225.457288599999000
T2_P2,6,262.191594500000000
T2_P3,7,199.295725000000000
T2_P4,8,279.963066700000000
T13_P4,52,167.369008100000000
T7_P2,26,477.692775900000000
T7_P1,25,214.370569100000000
T7_P3,27,201.487069700000000
T7_P4,28,162.496835900000000
